company,body-style,length,engine,mileage,sunroof
alfa-romero,convertible,168.8,dohc,21,No
alfa-romero,hatchback,171.2,dohc,19,No
audi,sedan,176.6,ohc,24,Yes
audi,sedan,176.6,None,18,Yes
audi,sedan,177.3,ohc,19,Yes
audi,wagon,192.7,ohc,19,Yes
bmw,sedan,176.8,ohc,23,Yes
bmw,sedan,176.8,ohc,23,Yes
bmw,sedan,176.8,ohc,21,Yes
bmw,sedan,189,ohc,16,Yes
bmw,sedan,193.8,ohc,16,Yes
bmw,sedan,197,ohc,15,Yes
chevrolet,hatchback,141.1,ohc,47,No
chevrolet,hatchback,155.9,ohc,38,No
chevrolet,sedan,158.8,ohc,38,No
dodge,hatchback,157.3,ohc,31,No
dodge,hatchback,157.3,ohc,31,No
honda,wagon,157.1,ohc,30,No
honda,sedan,175.4,ohc,24,No
honda,sedan,169.1,ohc,25,No
isuzu,sedan,170.7,ohc,24,No
isuzu,sedan,155.9,ohc,38,No
isuzu,sedan,155.9,ohc,38,No
jaguar,sedan,199.6,dohc,15,Yes
jaguar,sedan,199.6,dohc,15,Yes
jaguar,sedan,191.7,ohcv,13,Yes
mazda,hatchback,159.1,ohc,30,Yes
mazda,hatchback,159.1,ohc,31,Yes
mazda,hatchback,159.1,ohc,31,Yes
mazda,hatchback,169,rotor,17,Yes
mazda,sedan,175,ohc,31,Yes
mercedes-benz,sedan,190.9,ohc,22,Yes
mercedes-benz,wagon,190.9,ohc,22,Yes
mercedes-benz,sedan,208.1,ohcv,14,Yes
mercedes-benz,hardtop,199.2,ohcv,14,Yes
mitsubishi,hatchback,157.3,ohc,37,Yes
mitsubishi,hatchback,157.3,ohc,31,Yes
mitsubishi,sedan,172.4,ohc,25,Yes
mitsubishi,sedan,172.4,ohc,25,Yes
nissan,sedan,165.3,ohc,45,No
nissan,sedan,165.3,ohc,31,No
nissan,sedan,165.3,ohc,31,No
nissan,wagon,170.2,ohc,31,No
nissan,sedan,184.6,ohcv,19,No
porsche,hardtop,168.9,ohcf,17,Yes
porsche,convertible,168.9,ohcf,17,Yes
porsche,hatchback,175.7,dohcv,17,Yes
toyota,hatchback,158.7,ohc,35,No
toyota,hatchback,158.7,ohc,31,No
toyota,hatchback,158.7,ohc,31,No
toyota,wagon,169.7,ohc,31,No
toyota,wagon,169.7,ohc,27,No
toyota,wagon,169.7,ohc,27,No
toyota,wagon,187.8,dohc,19,No
volkswagen,sedan,171.7,ohc,37,Yes
volkswagen,sedan,171.7,ohc,27,Yes
volkswagen,sedan,171.7,ohc,37,Yes
volkswagen,sedan,171.7,ohc,26,Yes
volvo,sedan,188.8,ohc,23,No
volvo,wagon,188.8,ohc,23,No